[2021/07/29 05:35:37] - Namespace(resume=True, prefix='default', seed=33201701, batch_size=120, epochs=100, lr=0.001, image_size=224, data_directory='../Restricted_ImageNet', opt_level='O1', model_name='efficientnet-b0')
[2021/07/29 05:35:37] - Epoch  Seconds    Train Loss  Train Acc    Test Loss  Test Acc
[2021/07/29 05:37:31] -    20    113.8       42.9465    88.0751      55.1870   85.7500
[2021/07/29 05:39:24] -    21    112.6       40.9807    88.5142      50.6292   87.1667
[2021/07/29 05:41:16] -    22    112.3       39.2210    88.9487      60.6545   85.8333
[2021/07/29 05:43:08] -    23    112.3       38.1596    89.2301      52.4181   87.0000
[2021/07/29 05:45:02] -    24    113.0       35.7576    90.0371      53.1981   87.4583
[2021/07/29 05:46:54] -    25    112.8       34.9706    90.2288      54.1662   87.4167
[2021/07/29 05:48:48] -    26    113.4       34.0287    90.4422      50.4263   88.3333
[2021/07/29 05:50:41] -    27    112.9       32.5053    90.8844      46.8365   88.2500
[2021/07/29 05:52:34] -    28    112.7       31.6374    91.0127      47.5572   88.4583
[2021/07/29 05:54:26] -    29    112.7       30.5938    91.4765      49.1502   88.9167
[2021/07/29 05:56:20] -    30    113.0       29.7291    91.6976      51.4977   88.5417
[2021/07/29 05:58:13] -    31    112.9       28.6938    91.9929      50.8169   88.5833
[2021/07/29 06:00:06] -    32    113.0       27.6164    92.2604      47.4022   88.5417
[2021/07/29 06:01:59] -    33    113.2       27.4283    92.2928      49.2588   87.9167
[2021/07/29 06:03:52] -    34    112.9       26.5378    92.5727      46.4525   88.8333
[2021/07/29 06:05:44] -    35    112.3       25.6346    92.8200      43.5721   89.5833
[2021/07/29 06:07:37] -    36    112.9       24.5325    93.0550      46.2776   88.9167
[2021/07/29 06:09:30] -    37    112.9       24.2684    93.1911      51.3658   88.3750
[2021/07/29 06:11:23] -    38    112.7       23.1698    93.4168      45.5435   89.0000
[2021/07/29 06:13:16] -    39    112.6       23.2041    93.4338      46.7689   89.7083
[2021/07/29 06:15:09] -    40    112.9       21.5355    94.0121      48.5306   89.2917
[2021/07/29 06:17:01] -    41    112.6       21.5547    93.8528      47.4673   89.1667
[2021/07/29 06:18:54] -    42    113.0       21.0899    94.0662      52.7396   89.3333
[2021/07/29 06:20:47] -    43    112.9       20.5802    94.2053      45.4764   89.3333
[2021/07/29 06:22:40] -    44    112.9       20.3726    94.2703      46.3479   89.4583
[2021/07/29 06:24:33] -    45    112.5       19.4790    94.5795      49.0256   89.6667
[2021/07/29 06:26:26] -    46    112.8       19.2661    94.5130      44.9065   89.7083
[2021/07/29 06:28:19] -    47    113.0       18.8381    94.6861      45.1631   89.6667
[2021/07/29 06:30:11] -    48    112.6       18.4799    94.7866      46.0996   89.5833
[2021/07/29 06:32:04] -    49    112.8       18.0437    94.9258      44.8700   90.3750
[2021/07/29 06:33:57] -    50    112.7       17.4869    95.1407      48.7074   89.7500
[2021/07/29 06:35:50] -    51    112.9       17.7529    95.0278      44.0561   89.8750
[2021/07/29 06:37:43] -    52    112.9       17.2229    95.1701      49.0668   89.7500
[2021/07/29 06:39:36] -    53    112.8       16.3855    95.4515      50.3367   89.1667
[2021/07/29 06:41:29] -    54    112.5       16.2470    95.3556      47.3034   89.9167
[2021/07/29 06:43:21] -    55    112.8       15.9166    95.5056      48.7933   89.5417
[2021/07/29 06:45:14] -    56    112.5       16.3162    95.4066      47.5394   90.0833
[2021/07/29 06:47:07] -    57    112.8       15.5091    95.5921      53.8947   89.1250
[2021/07/29 06:49:00] -    58    112.9       15.0826    95.7483      48.5242   89.4583
[2021/07/29 06:50:52] -    59    112.6       15.0552    95.7761      54.9129   89.7083
[2021/07/29 06:52:45] -    60    112.8       15.1316    95.7081      45.7843   90.9167
[2021/07/29 06:54:38] -    61    112.8       14.8261    95.8318      49.0328   89.3750
[2021/07/29 06:56:30] -    62    112.4       14.4430    95.9586      45.4030   90.7917
[2021/07/29 06:58:24] -    63    113.2       14.2396    95.8967      45.9334   90.3750
[2021/07/29 07:00:16] -    64    112.5       14.1612    95.9771      50.0278   90.4583
[2021/07/29 07:02:09] -    65    112.5       13.7483    96.1364      44.7457   90.2083
[2021/07/29 07:04:02] -    66    112.7       13.3446    96.2879      45.3453   90.5417
[2021/07/29 07:05:55] -    67    113.2       13.3945    96.2168      48.9698   90.6667
[2021/07/29 07:07:48] -    68    112.9       13.2130    96.2600      45.1244   90.2083
[2021/07/29 07:09:41] -    69    113.1       13.3155    96.3203      47.1441   90.2083
[2021/07/29 07:11:34] -    70    112.7       12.7426    96.4332      49.3590   89.9167
[2021/07/29 07:13:26] -    71    112.7       12.6819    96.4348      46.4833   89.9167
[2021/07/29 07:15:19] -    72    112.7       12.6971    96.4100      43.9145   90.7917
[2021/07/29 07:17:12] -    73    112.9       12.8932    96.3296      47.8255   90.2083
[2021/07/29 07:19:05] -    74    112.9       12.1349    96.6342      52.8646   90.4583
[2021/07/29 07:20:58] -    75    113.0       11.8212    96.6821      46.1313   91.0000
[2021/07/29 07:22:50] -    76    112.4       11.9822    96.6327      51.7077   89.4167
[2021/07/29 07:24:43] -    77    113.1       11.9898    96.6187      46.7856   90.7083
[2021/07/29 07:26:36] -    78    112.7       11.9684    96.5971      46.0101   90.4583
[2021/07/29 07:28:29] -    79    113.3       11.6227    96.7687      48.0202   90.3750
[2021/07/29 07:30:23] -    80    113.3       11.3848    96.8027      51.6550   90.5833
